id,hvac,weather,resistance,capacitance,ventilation,temp_init,temp_min,temp_max,footprint_area,free_walls,lat,lon,storey_area,heated_area,window_area,occupants,Tau
367791,r1c1,weather,0.000303954,147361932.5,468.2,22,22,24,1093,3,49.72025553,11.05552524,3279,2754,480,3,107630.4
31991680,r1c1,weather,0.000199275,336968150.4,1292.9,19,19,22,3018,3,49.72561366,11.05732008,6036,5070,1302,4,58487.5
31991682,r1c1,weather,0.003485991,10941974.4,42,22,22,24,98,4,49.7266711,11.05702054,196,165,32,5,67319.1
31991685,r1c1,weather,0.000493215,83851252.8,321.7,18,18,21,751,4,49.72625379,11.05767095,1502,1262,249,5,75122.3
31991686,r1c1,weather,0.002615862,23558740.8,90.4,21,21,22,211,4,49.72652358,11.05758193,422,354,59,5,66850.3
31991687,r1c1,weather,0.001426013,19874198.4,76.3,21,21,24,178,4,49.72666705,11.0577341,356,299,59,5,112859.4
31991688,r1c1,weather,0.001053533,42986328,164.9,20,20,25,385,4,49.72677274,11.05742363,770,647,125,5,76855.6
31991690,r1c1,weather,0.001897185,34054104,130.7,19,19,25,305,4,49.72679162,11.05768505,915,769,147,5,56048
31991691,r1c1,weather,0.003037519,17529489.6,67.3,20,20,24,157,4,49.72697017,11.05765716,314,264,47,5,61396.7
