Day,Hour,EventType,Probability,Duration [min],Flow rate [L/min],Sigma duration [min],Sigma flow rate [L/min],Probability_day
0,23:23,Shower,0.008,5,8,2,2,0.9
0,23:36,Shower,0.008,5,8,2,2,0.9
0,23:48,Shower,0.008,5,8,2,2,0.9
0,00:00,Bath,0.005,10,14,2,2,0.5
0,00:12,Bath,0.005,10,14,2,2,0.5
0,00:24,Bath,0.005,10,14,2,2,0.5
0,00:36,Bath,0.005,10,14,2,2,0.5
0,00:48,Bath,0.005,10,14,2,2,0.5
0,01:00,Bath,0.005,10,14,2,2,0.5
0,01:11,Bath,0.005,10,14,2,2,0.5
0,01:23,Bath,0.005,10,14,2,2,0.5
0,01:36,Bath,0.005,10,14,2,2,0.5
0,01:48,Bath,0.005,10,14,2,2,0.5
0,02:00,Bath,0.005,10,14,2,2,0.5
0,02:12,Bath,0.005,10,14,2,2,0.5
0,02:23,Bath,0.005,10,14,2,2,0.5
0,02:36,Bath,0.005,10,14,2,2,0.5
0,02:47,Bath,0.005,10,14,2,2,0.5
0,03:00,Bath,0.005,10,14,2,2,0.5
0,03:12,Bath,0.005,10,14,2,2,0.5
0,03:23,Bath,0.005,10,14,2,2,0.5
0,03:36,Bath,0.005,10,14,2,2,0.5
0,03:47,Bath,0.005,10,14,2,2,0.5
0,04:00,Bath,0.005,10,14,2,2,0.5
0,04:12,Bath,0.005,10,14,2,2,0.5
0,04:24,Bath,0.005,10,14,2,2,0.5
0,04:35,Bath,0.005,10,14,2,2,0.5
0,04:47,Bath,0.005,10,14,2,2,0.5
0,05:00,Bath,0.005,10,14,2,2,0.5
0,05:12,Bath,0.005,10,14,2,2,0.5
0,05:24,Bath,0.005,10,14,2,2,0.5
0,05:35,Bath,0.005,10,14,2,2,0.5
0,05:47,Bath,0.005,10,14,2,2,0.5
0,06:00,Bath,0.005,10,14,2,2,0.5
0,06:12,Bath,0.005,10,14,2,2,0.5
0,06:24,Bath,0.005,10,14,2,2,0.5
0,06:35,Bath,0.005,10,14,2,2,0.5
0,06:47,Bath,0.005,10,14,2,2,0.5
0,07:00,Bath,0.005,10,14,2,2,0.5
0,07:12,Bath,0.005,10,14,2,2,0.5
0,07:24,Bath,0.005,10,14,2,2,0.5
0,07:35,Bath,0.00545,10,14,2,2,0.5
0,07:47,Bath,0.0059,10,14,2,2,0.5
0,08:00,Bath,0.0064,10,14,2,2,0.5
0,08:11,Bath,0.0069,10,14,2,2,0.5
0,08:24,Bath,0.00745,10,14,2,2,0.5
0,08:35,Bath,0.008,10,14,2,2,0.5
0,08:48,Bath,0.0086,10,14,2,2,0.5
0,09:00,Bath,0.00925,10,14,2,2,0.5
0,09:11,Bath,0.0099,10,14,2,2,0.5
0,09:24,Bath,0.01055,10,14,2,2,0.5
0,09:35,Bath,0.0113,10,14,2,2,0.5
0,09:48,Bath,0.012,10,14,2,2,0.5
0,10:00,Bath,0.01275,10,14,2,2,0.5
0,10:11,Bath,0.0135,10,14,2,2,0.5
0,10:24,Bath,0.0143,10,14,2,2,0.5
0,10:35,Bath,0.0151,10,14,2,2,0.5
0,10:48,Bath,0.0159,10,14,2,2,0.5
0,11:00,Bath,0.0167,10,14,2,2,0.5
0,11:11,Bath,0.01755,10,14,2,2,0.5
0,11:24,Bath,0.0184,10,14,2,2,0.5
0,11:35,Bath,0.0192,10,14,2,2,0.5
0,11:48,Bath,0.02005,10,14,2,2,0.5
0,12:00,Bath,0.0209,10,14,2,2,0.5
0,12:11,Bath,0.0217,10,14,2,2,0.5
0,12:24,Bath,0.0225,10,14,2,2,0.5
0,12:35,Bath,0.0233,10,14,2,2,0.5
0,12:48,Bath,0.02405,10,14,2,2,0.5
0,13:00,Bath,0.0248,10,14,2,2,0.5
0,13:11,Bath,0.02555,10,14,2,2,0.5
0,13:24,Bath,0.02625,10,14,2,2,0.5
0,13:35,Bath,0.0269,10,14,2,2,0.5
