dwelling_size,m3_per_m2_a,sigma
0,0.28,0.14
40,0.25,0.23
55,0.26,0.10
70,0.26,0.14
85,0.23,0.10
100,0.21,0.11
120,0.18,0.11
140,0.16,0.12
160,0.13,0.09
180,0.14,0.11
