day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,22:48:00,shower,0.007,300,0.133,120,0.033
0,23:00:00,shower,0.007,300,0.133,120,0.033
0,23:11:00,shower,0.007,300,0.133,120,0.033
0,23:23:00,shower,0.007,300,0.133,120,0.033
0,23:36:00,shower,0.007,300,0.133,120,0.033
0,23:48:00,shower,0.007,300,0.133,120,0.033
0,00:00:00,bath,0.002,600,0.233,120,0.033
0,00:12:00,bath,0.002,600,0.233,120,0.033
0,00:24:00,bath,0.002,600,0.233,120,0.033
0,00:36:00,bath,0.002,600,0.233,120,0.033
0,00:48:00,bath,0.002,600,0.233,120,0.033
0,01:00:00,bath,0.002,600,0.233,120,0.033
0,01:11:00,bath,0.002,600,0.233,120,0.033
0,01:23:00,bath,0.002,600,0.233,120,0.033
0,01:36:00,bath,0.002,600,0.233,120,0.033
0,01:48:00,bath,0.002,600,0.233,120,0.033
0,02:00:00,bath,0.002,600,0.233,120,0.033
0,02:12:00,bath,0.002,600,0.233,120,0.033
0,02:23:00,bath,0.002,600,0.233,120,0.033
0,02:36:00,bath,0.002,600,0.233,120,0.033
0,02:47:00,bath,0.002,600,0.233,120,0.033
0,03:00:00,bath,0.002,600,0.233,120,0.033
0,03:12:00,bath,0.002,600,0.233,120,0.033
0,03:23:00,bath,0.002,600,0.233,120,0.033
0,03:36:00,bath,0.002,600,0.233,120,0.033
0,03:47:00,bath,0.002,600,0.233,120,0.033
0,04:00:00,bath,0.002,600,0.233,120,0.033
0,04:12:00,bath,0.002,600,0.233,120,0.033
0,04:24:00,bath,0.002,600,0.233,120,0.033
0,04:35:00,bath,0.002,600,0.233,120,0.033
0,04:47:00,bath,0.002,600,0.233,120,0.033
0,05:00:00,bath,0.002,600,0.233,120,0.033
0,05:12:00,bath,0.002,600,0.233,120,0.033
0,05:24:00,bath,0.002,600,0.233,120,0.033
0,05:35:00,bath,0.002,600,0.233,120,0.033
0,05:47:00,bath,0.002,600,0.233,120,0.033
0,06:00:00,bath,0.002,600,0.233,120,0.033
0,06:12:00,bath,0.002,600,0.233,120,0.033
0,06:24:00,bath,0.002,600,0.233,120,0.033
0,06:35:00,bath,0.002,600,0.233,120,0.033
0,06:47:00,bath,0.002,600,0.233,120,0.033
0,07:00:00,bath,0.002,600,0.233,120,0.033
0,07:12:00,bath,0.002,600,0.233,120,0.033
0,07:24:00,bath,0.002,600,0.233,120,0.033
0,07:35:00,bath,0.003,600,0.233,120,0.033
0,07:47:00,bath,0.003,600,0.233,120,0.033
0,08:00:00,bath,0.003,600,0.233,120,0.033
0,08:11:00,bath,0.003,600,0.233,120,0.033
0,08:24:00,bath,0.004,600,0.233,120,0.033
0,08:35:00,bath,0.004,600,0.233,120,0.033
0,08:48:00,bath,0.004,600,0.233,120,0.033
0,09:00:00,bath,0.005,600,0.233,120,0.033
0,09:11:00,bath,0.005,600,0.233,120,0.033
0,09:24:00,bath,0.005,600,0.233,120,0.033
0,09:35:00,bath,0.006,600,0.233,120,0.033
0,09:48:00,bath,0.006,600,0.233,120,0.033
0,10:00:00,bath,0.006,600,0.233,120,0.033
